season_number,startup_name,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,anchor,industry,business_description,company_website,started_in,number_of_presenters,male_presenters,female_presenters,transgender_presenters,couple_presenters,pitchers_average_age,pitchers_city,pitchers_state,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,original_ask_amount,original_offered_equity,valuation_requested,received_offer,accepted_offer,total_deal_amount,total_deal_equity,total_deal_debt,debt_interest,deal_valuation,number_of_sharks_in_deal,deal_has_conditions,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_investment_amount,namita_investment_equity,namita_debt_amount,vineeta_investment_amount,vineeta_investment_equity,vineeta_debt_amount,anupam_investment_amount,anupam_investment_equity,anupam_debt_amount,aman_investment_amount,aman_investment_equity,aman_debt_amount,peyush_investment_amount,peyush_investment_equity,peyush_debt_amount,ritesh_investment_amount,ritesh_investment_equity,ritesh_debt_amount,amit_investment_amount,amit_investment_equity,amit_debt_amount,guest_investment_amount,guest_investment_equity,guest_debt_amount,invested_guest_name,all_guest_names,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present,deal_status,deal_count,investment_in_crores
1,BluePineFoods,1,1,20-Dec-21,4-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,Food And Beverage,Frozen Momos,https://bluepinefoods.com/,2016.0,3,2.0,1.0,,0.0,,Delhi,Delhi,95.0,8.0,,,,,,,,,50.0,5.0,1000.0,1,1.0,75.0,16.0,,,469.0,3.0,,,,,,,,25.0,5.33,,,,,25.0,5.33,,,,,,,,,,,25.0,5.33,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.75
1,BoozScooters,1,2,20-Dec-21,4-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,2017.0,1,1.0,,,0.0,,Ahmedabad,Gujarat,4.0,0.4,,,,,,,,,40.0,15.0,267.0,1,1.0,40.0,50.0,,,80.0,2.0,,,,,,,,20.0,25.0,,,,,,,,,,,,,,,,,20.0,25.0,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.4
1,HeartUpMySleeves,1,3,20-Dec-21,4-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,2021.0,1,,1.0,,0.0,,Delhi,Delhi,,2.0,,,,,,,,,25.0,10.0,250.0,1,1.0,25.0,30.0,,,83.0,2.0,,,,,,,,12.5,15.0,,12.5,15.0,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.25
1,TagzFoods,2,4,20-Dec-21,4-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Food And Beverage,Healthy Potato Chips Snacks,https://tagzfoods.com/,2019.0,2,2.0,,,0.0,,Bangalore,Karnataka,700.0,,48.0,,,,,,,,70.0,1.0,7000.0,1,1.0,70.0,2.75,,,2545.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,2.75,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.7
1,HeadAndHeart,2,5,20-Dec-21,4-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Children/Education,Brain Development Course,https://thehnh.in/,2015.0,4,1.0,3.0,,1.0,,Patiala,Punjab,30.0,,,,,,,,,,50.0,5.0,1000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,No Deal,0,
1,Agritourism,2,6,20-Dec-21,4-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Agriculture,Tourism,https://www.agritourism.in/,2005.0,2,1.0,1.0,,1.0,,Baramati,Maharashtra,79.0,,,,,,,,,,50.0,5.0,1000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,No Deal,0,
1,qZenseLabs,3,7,20-Dec-21,4-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food And Beverage,Food Freshness Detector,https://www.qzense.com/,2020.0,2,,2.0,,0.0,,"Delhi,Mohali","Delhi,Punjab",25.0,15.0,,,,,,yes,,,100.0,0.25,40000.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,No Deal,0,
1,Peeschute,3,8,20-Dec-21,4-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,2019.0,1,1.0,,,0.0,,Jalna,Maharashtra,100.0,,,,,,2.0,,,,75.0,4.0,1875.0,1,1.0,75.0,6.0,,,1250.0,1.0,,,,,,,,,,,,,,75.0,6.0,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.75
1,NOCD,3,9,20-Dec-21,4-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food And Beverage,Energy Drink,https://www.jouleshealth.com/,2019.0,2,2.0,,,0.0,,Bangalore,Karnataka,,20.0,,,,,,,,,50.0,2.0,2500.0,1,1.0,20.0,15.0,30.0,,133.0,1.0,yes,,,,,,,20.0,15.0,30.0,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.2
1,CosIQ,4,10,20-Dec-21,4-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Rannvijay Singh,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2021.0,2,1.0,1.0,,1.0,,Delhi,Delhi,0.0,4.0,75.0,20.0,,,8.0,,,,50.0,7.5,667.0,1,1.0,50.0,25.0,,,200.0,2.0,,,,,,,,25.0,12.5,,25.0,12.5,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.5
